epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.42471,1.13868,3.0981,1.45451,0.8081,0.18333,0.25994,0.18624,1.12818,4.55505,1.50931,0.0001667,0.0001667,0.0001667
2,19.3343,1.12421,2.06391,1.38576,0.22877,0.33611,0.17019,0.09985,1.42771,2.97358,1.71882,0.000346604,0.000346604,0.000346604
3,28.0903,1.08704,1.66127,1.37416,0.13154,0.48097,0.14065,0.06848,1.59091,8.4036,2.14591,0.000522878,0.000522878,0.000522878
4,36.2841,1.14438,1.67515,1.40194,0.13801,0.50556,0.13264,0.06362,1.50523,22.0894,2.30663,0.000695521,0.000695521,0.000695521
5,46.5698,1.22446,1.59536,1.46379,0.02851,0.29444,0.02308,0.00899,2.31841,50.1173,3.27194,0.000864533,0.000864533,0.000864533
6,58.4913,1.26273,1.65323,1.48417,0.51075,0.13889,0.00929,0.0032,2.43572,130.65,3.63003,0.00102991,0.00102991,0.00102991
7,69.4902,1.22969,1.66397,1.46136,0.00083,0.09722,0.00016,7e-05,2.83459,inf,6.4784,0.00119166,0.00119166,0.00119166
8,81.0268,1.24318,1.57851,1.46246,0.00017,0.02778,1e-05,0,3.19599,inf,4.80297,0.00134978,0.00134978,0.00134978
9,91.9424,1.28831,1.68744,1.52345,0.0081,0.36389,0.00361,0.0012,2.43485,inf,3.95789,0.00150427,0.00150427,0.00150427
10,101.792,1.22347,1.52558,1.46172,0.01447,0.11111,0.01364,0.00552,2.45552,27.799,2.9119,0.00151847,0.00151847,0.00151847
11,112.87,1.15213,1.49502,1.41707,0.00065,0.1,0.00025,7e-05,3.31014,286.546,4.09231,0.00150197,0.00150197,0.00150197
12,121.616,1.18133,1.42824,1.42938,0.00061,0.12778,0.00074,0.00031,3.88718,inf,13.1867,0.00148546,0.00148546,0.00148546
13,129.514,1.24431,1.46674,1.50243,0.00231,0.38333,0.00115,0.00031,3.48134,inf,12.0215,0.00146896,0.00146896,0.00146896
14,143.595,1.16062,1.45777,1.43225,0.16109,0.21111,0.05727,0.03257,2.56951,105.835,4.91333,0.00145246,0.00145246,0.00145246
15,153.068,1.24269,1.54135,1.46501,0.27977,0.21111,0.18172,0.08193,1.78353,10.7726,2.3236,0.00143595,0.00143595,0.00143595
16,164.417,1.14043,1.39572,1.41421,0.56677,0.15278,0.04981,0.03106,2.17232,10.2459,2.48347,0.00141945,0.00141945,0.00141945
17,174.314,1.21448,1.46616,1.46744,0.09538,0.26944,0.06481,0.02745,2.87527,7.44944,3.22499,0.00140295,0.00140295,0.00140295
18,184.392,1.03892,1.3471,1.32433,0.30103,0.39167,0.189,0.10866,1.46477,6.99063,1.85204,0.00138644,0.00138644,0.00138644
19,194.942,1.13263,1.38006,1.40249,0.3085,0.36554,0.26342,0.15524,1.45308,3.74744,1.98389,0.00136994,0.00136994,0.00136994
20,205.352,1.08121,1.33327,1.34633,0.42827,0.75833,0.4414,0.24903,1.30629,6.3246,1.74437,0.00135344,0.00135344,0.00135344
21,215.852,1.05014,1.25174,1.34653,0.56525,0.51667,0.34561,0.20659,1.30983,4.13645,1.7295,0.00133693,0.00133693,0.00133693
22,224.968,0.99686,1.2224,1.2962,0.60294,0.56111,0.42793,0.27492,1.24115,4.96155,1.72386,0.00132043,0.00132043,0.00132043
23,236.068,1.00001,1.18875,1.30249,0.37463,0.50278,0.4307,0.2332,1.37616,4.86536,1.97452,0.00130393,0.00130393,0.00130393
24,246.39,1.04654,1.26926,1.31356,0.60164,0.475,0.34307,0.22556,1.34478,2.87909,1.84804,0.00128742,0.00128742,0.00128742
25,255.664,1.03084,1.1708,1.30809,0.53459,0.63324,0.49919,0.29981,1.16725,2.75975,1.644,0.00127092,0.00127092,0.00127092
26,273.013,1.03398,1.17708,1.29702,0.22861,0.53333,0.24801,0.14036,1.20779,4.4213,1.68157,0.00125442,0.00125442,0.00125442
27,282.166,0.99712,1.17414,1.28951,0.48686,0.57012,0.51371,0.32633,1.21979,2.75251,1.6851,0.00123791,0.00123791,0.00123791
28,300.002,0.97123,1.0922,1.2732,0.63791,0.33241,0.36418,0.19194,1.80816,5.31809,2.32108,0.00122141,0.00122141,0.00122141
29,313.847,1.01782,1.13769,1.32353,0.58039,0.36667,0.42297,0.24821,1.51623,2.86596,1.96697,0.00120491,0.00120491,0.00120491
30,327.833,0.98111,1.08615,1.26754,0.52037,0.64722,0.51963,0.33955,1.21255,3.60284,1.70733,0.0011884,0.0011884,0.0011884
31,342.214,0.99925,1.10176,1.28998,0.51919,0.63125,0.5419,0.31687,1.23607,3.98626,1.68657,0.0011719,0.0011719,0.0011719
32,351.222,0.91105,1.03506,1.21243,0.74059,0.53324,0.55545,0.33977,1.19307,3.75131,1.64014,0.0011554,0.0011554,0.0011554
33,363.859,0.91676,1.02171,1.24014,0.35581,0.63333,0.45876,0.28953,1.16916,2.42434,1.63529,0.00113889,0.00113889,0.00113889
34,380.189,0.86552,0.90698,1.197,0.51379,0.35065,0.39092,0.24402,1.25055,2.244,1.7813,0.00112239,0.00112239,0.00112239
35,389.991,0.89164,0.94258,1.21739,0.64497,0.52222,0.50241,0.30277,1.08317,2.44313,1.54427,0.00110589,0.00110589,0.00110589
36,405.208,0.90425,0.95087,1.22794,0.41443,0.76389,0.54777,0.35524,1.0589,1.96563,1.45272,0.00108938,0.00108938,0.00108938
37,414.245,0.8278,0.91991,1.17664,0.80686,0.50833,0.64363,0.48266,1.05767,1.45678,1.45697,0.00107288,0.00107288,0.00107288
38,431.743,0.82852,0.93058,1.17574,0.67702,0.46111,0.50875,0.35807,1.15045,2.25622,1.60469,0.00105638,0.00105638,0.00105638
39,440.324,0.8503,0.94245,1.17415,0.44266,0.43333,0.37599,0.24988,1.20325,1.84982,1.72788,0.00103987,0.00103987,0.00103987
40,452.992,0.86907,0.96516,1.18417,0.34405,0.51237,0.36092,0.23501,1.14849,1.77341,1.60531,0.00102337,0.00102337,0.00102337
41,463.378,0.86112,0.92784,1.20134,0.44755,0.46389,0.41957,0.29161,1.09897,1.70722,1.53517,0.00100687,0.00100687,0.00100687
42,473.421,0.84659,0.89627,1.17247,0.38952,0.64722,0.39622,0.26762,1.19615,2.07579,1.658,0.000990365,0.000990365,0.000990365
43,495.401,0.81732,0.85731,1.15559,0.41553,0.66111,0.42282,0.29622,1.12945,1.7581,1.64813,0.000973861,0.000973861,0.000973861
44,505.427,0.8406,0.87298,1.18896,0.55988,0.48692,0.51121,0.35653,1.165,1.30675,1.60477,0.000957358,0.000957358,0.000957358
45,526.011,0.82172,0.87527,1.14844,0.42881,0.66252,0.46608,0.32556,1.14305,1.5523,1.52915,0.000940855,0.000940855,0.000940855
46,536.95,0.82808,0.86472,1.15471,0.69583,0.54722,0.57797,0.40095,1.06886,1.95622,1.48014,0.000924352,0.000924352,0.000924352
47,547.372,0.80244,0.8689,1.14889,0.74464,0.46389,0.62167,0.43017,1.12308,1.53558,1.56643,0.000907848,0.000907848,0.000907848
48,557.063,0.74859,0.77918,1.12105,0.67854,0.63841,0.60014,0.42627,1.10359,1.97451,1.5576,0.000891345,0.000891345,0.000891345
49,568.281,0.76435,0.77714,1.12376,0.59877,0.58744,0.65569,0.45447,1.19414,1.49733,1.63028,0.000874842,0.000874842,0.000874842
50,576.279,0.79862,0.81532,1.15043,0.55166,0.77096,0.66139,0.45122,1.17083,1.49836,1.57456,0.000858338,0.000858338,0.000858338
51,584.415,0.77809,0.7619,1.13247,0.75403,0.70556,0.76934,0.58369,1.06722,1.66585,1.45283,0.000841835,0.000841835,0.000841835
52,594.092,0.7758,0.75827,1.12711,0.73742,0.75756,0.79262,0.5462,1.01816,1.48147,1.39757,0.000825332,0.000825332,0.000825332
53,604.631,0.79094,0.83777,1.15246,0.7311,0.6898,0.77426,0.51898,0.9962,1.39199,1.34716,0.000808828,0.000808828,0.000808828
54,612.637,0.73992,0.70971,1.09772,0.76799,0.63333,0.76601,0.43662,0.99538,1.70791,1.41907,0.000792325,0.000792325,0.000792325
55,626.772,0.76793,0.71785,1.09817,0.65657,0.71754,0.75464,0.52796,1.00399,1.60511,1.39603,0.000775822,0.000775822,0.000775822
56,637.121,0.77544,0.82906,1.1451,0.61523,0.775,0.66613,0.46585,0.94684,1.71728,1.37574,0.000759318,0.000759318,0.000759318
57,648.044,0.72481,0.76275,1.10977,0.60619,0.74722,0.68441,0.48561,1.02299,1.84696,1.51539,0.000742815,0.000742815,0.000742815
58,657.344,0.74286,0.70668,1.09422,0.76959,0.67765,0.73691,0.54142,1.14649,1.51124,1.61092,0.000726312,0.000726312,0.000726312
59,665.805,0.74334,0.72896,1.10628,0.81989,0.72222,0.78238,0.55554,1.05053,1.45832,1.5273,0.000709809,0.000709809,0.000709809
60,674.046,0.70285,0.68857,1.09075,0.80464,0.80412,0.80801,0.59642,1.03029,1.46722,1.50981,0.000693305,0.000693305,0.000693305
61,683.02,0.6942,0.68537,1.08961,0.83849,0.80037,0.82349,0.5867,1.01759,1.27991,1.5213,0.000676802,0.000676802,0.000676802
62,691.318,0.70359,0.634,1.07721,0.83378,0.75984,0.83554,0.55543,0.99641,1.21915,1.50101,0.000660299,0.000660299,0.000660299
63,699.546,0.70778,0.68713,1.10472,0.88322,0.67778,0.7952,0.52395,0.9483,1.28027,1.43457,0.000643795,0.000643795,0.000643795
64,708.519,0.67213,0.66926,1.07224,0.84221,0.74722,0.78873,0.49635,1.04671,1.3703,1.50708,0.000627292,0.000627292,0.000627292
